Variety,Growernr_seeduser,Growernr_seedproducer,Year,Sensitivity,Ares,Mah,DefH,dk,GPS_coord,strains_1,strains_2,strains_3,strains_4,strains_5,strains_6,strains_7,strains_8,strains_9
HZ_4,Grower_231,Grower_90,2021,Verysusceptible,0.93,PB4,PB4,0,121618-538544,0,0,0,0,0,0,0,0,0
HZ_43,Grower_42,Grower_110,2021,Tolerant,0.7,PB4,PB4,0,246894-600037,0,0,7,1,3,0,0,1,1
HZ_46,Grower_161,Grower_99,2020,Susceptible,1.0,SE,E,0,170394-503247,0,0,3,2,1,0,0,0,0
HZ_23,Grower_149,Grower_46,2021,Verysusceptible,0.22,E,E,0,177473-526535,0,0,0,0,0,0,0,0,0
HZ_43,Grower_83,Grower_65,2021,Tolerant,2.2,SE,SE,0,192488-596985,0,0,8,0,3,0,0,1,0
HZ_13,Grower_360,Grower_176,2020,Tolerant,1.46,SE,AF,1,270116-573663,0,0,0,0,0,0,0,0,0
HZ_38,Grower_66,Grower_40,2023,Tolerant,2.2,SE,SE,0,229494-597343,0,0,0,0,0,0,0,0,0
HZ_43,Grower_324,Grower_76,2019,Tolerant,0.85,SE,A,0,190037-599508,0,0,8,6,6,0,0,0,0
HZ_51,Grower_171,Grower_66,2022,Susceptible,2.0,E,A,1,187660-532799,0,0,0,0,0,0,0,0,0
HZ_17,Grower_368,Grower_68,2020,Susceptible,1.8,E,A,1,161180-579673,0,0,8,7,4,0,0,0,0
HZ_4,Grower_279,Grower_2,2023,Verysusceptible,3.0,SE,A,0,088869-408235,0,0,2,0,2,0,0,3,0
HZ_24,Grower_197,Grower_40,2023,Tolerant,0.5,PB4,PB4,0,118816-564472,0,0,6,0,0,0,1,2,0
HZ_58,Grower_183,Grower_93,2021,Susceptible,1.34,SE,SE,0,189414-529105,0,0,0,0,0,0,0,0,0
HZ_4,Grower_77,Grower_64,2020,Verysusceptible,2.75,SE,A,0,205286-600115,0,0,0,0,0,0,0,0,0
HZ_11,Grower_263,Grower_12,2020,Tolerant,1.74,SE,SE,0,037146-371142,0,0,5,0,2,0,0,0,0
HZ_24,Grower_197,Grower_40,2021,Tolerant,0.3,SE,SE,0,116601-561179,0,0,7,4,4,0,0,1,1
HZ_3,Grower_66,Grower_1,2023,Tolerant,1.25,SE,E,0,232066-597016,0,0,1,0,0,0,0,0,0
HZ_17,Grower_102,Grower_156,2020,Susceptible,1.5,S,SE,0,182947-594133,0,0,0,0,0,0,0,0,0
HZ_5,Grower_91,Grower_6,2023,Susceptible,0.87,PB4,E,0,196069-599735,0,0,1,0,1,0,0,0,0
HZ_4,Grower_275,Grower_82,2022,Verysusceptible,2.7,SE,SE,0,081643-400189,0,0,1,0,0,0,0,1,0
HZ_23,Grower_143,Grower_30,2020,Verysusceptible,2.02,SE,SE,0,177246-519710,0,0,1,0,0,0,0,0,0
HZ_7,Grower_3,Grower_59,2019,Tolerant,1.06,SE,SE,0,244704-592722,0,0,0,0,0,0,0,0,0
HZ_4,Grower_403,Grower_80,2020,Verysusceptible,0.9,SE,SE,0,086436-406222,0,0,8,4,6,0,0,0,0
HZ_1,Grower_157,Grower_82,2021,Tolerant,0.65,SE,SE,0,170737-528428,0,0,0,0,0,0,0,0,0
HZ_3,Grower_28,Grower_35,2023,Tolerant,0.78,SE,SE,0,247515-600349,0,0,0,0,0,0,0,0,0
HZ_22,Grower_296,Grower_153,2019,Tolerant,0.79,SE,SE,0,241293-600247,0,0,3,2,1,0,0,0,0
HZ_20,Grower_102,Grower_58,2020,Tolerant,1.0,SE,E,0,179994-591634,0,0,8,0,3,0,0,0,0
HZ_9,Grower_83,Grower_10,2023,Verysusceptible,1.5,SE,SE,0,199789-599966,0,0,7,1,6,2,0,3,0
HZ_20,Grower_61,Grower_11,2020,Tolerant,1.45,SE,SE,0,220648-602050,0,0,4,1,1,0,0,0,0
HZ_43,Grower_202,Grower_181,2019,Tolerant,1.94,E,E,0,120171-570060,0,0,0,0,0,0,0,0,0
HZ_65,Grower_117,Grower_153,2021,Tolerant,2.9,E,E,0,171635-591371,0,0,8,8,5,0,0,4,0
HZ_3,Grower_332,Grower_50,2021,Tolerant,1.55,PB4,-,0,178275-592438,0,0,6,3,4,0,0,1,0
HZ_17,Grower_198,Grower_23,2023,Susceptible,1.26,E,E,0,116445-565003,0,0,3,0,0,1,0,1,0
HZ_17,Grower_130,Grower_61,2021,Susceptible,1.25,SE,-,0,165908-582524,0,0,7,2,4,0,0,1,0
HZ_5,Grower_15,Grower_111,2022,Susceptible,3.05,E,E,0,241708-605009,0,0,1,0,1,0,0,2,0
HZ_3,Grower_137,Grower_75,2020,Tolerant,1.0,SE,SE,0,165514-581185,0,0,1,0,0,0,0,0,0
HZ_3,Grower_66,Grower_1,2022,Tolerant,0.71,SE,SE,0,229507-596700,0,0,0,0,0,0,0,0,0
HZ_20,Grower_227,Grower_8,2020,Tolerant,1.85,E,E,0,125300-538803,0,0,8,4,6,0,0,0,0
HZ_11,Grower_202,Grower_19,2021,Tolerant,0.9,SE,E,0,119635-566901,0,0,6,1,2,1,6,5,0
HZ_43,Grower_20,Grower_18,2021,Tolerant,0.95,SE,SE,0,234792-602112,0,0,1,0,0,0,1,3,0
HZ_3,Grower_134,Grower_52,2020,Tolerant,2.08,E,E,0,174545-582619,0,0,0,0,0,0,0,0,0
HZ_54,Grower_123,Grower_3,2020,Verysusceptible,0.49,SE,SE,0,170689-587613,0,0,6,0,2,0,0,0,0
